##############################################################################
## Directory: \ML - Machine learning                                        ##
##############################################################################
MLD3_14.ZIP     3759 06-28-92 Machine Learning Digest Volume 3 Issue 14
MLD3_15.ZIP     3170 06-28-92 Machine Learning Digest Volume 2 Issue 15
MLD3_16.ZIP     6018 06-28-92 Machine Learning Digest Volume 3 Issue 16
MLD3_17.ZIP     8053 06-28-92 Machine Learning Digest Volume 3 Issue 17
MLD3_18.ZIP     6198 06-28-92 Machine Learning Digest Volume 3 Issue 18
MLD3_19.ZIP     2321 06-28-92 Machine Learning Digest Volume 3 Issue 19
MLD3_20.ZIP     4493 06-28-92 Machine Learning Digest Volume 3 Issue 20
MLD3_21.ZIP     5508 06-28-92 Machine Learning Digest Volume 3 Issue 21
MLD3_22.ZIP     3427 06-28-92 Machine Learning Digest Volume 3 Issue 22
MLD3_23.ZIP    11581 06-28-92 Machine Learning Digest Volume 3 Issue 23
------------------------------------------------------------------------------
MLD4_01.ZIP     6817 07-04-92 Machine Learning Digest Volume 4 Issue 01
MLD4_02.ZIP     9797 07-04-92 Machine Learning Digest Volume 4 Issue 02
MLD4_03.ZIP     6650 07-04-92 Machine Learning Digest Volume 4 Issue 04
MLD4_04.ZIP    12923 07-04-92 Machine Learning Digest Volume 4 Issue 04
MLD4_05.ZIP     3631 07-04-92 Machine Learning Digest Volume 4 Issue 05
MLD4_06.ZIP     7734 07-04-92 Machine Learning Digest Volume 4 Issue 06
MLD4_07.ZIP    11062 07-04-92 Machine Learning Digest Volume 4 Issue 07
MLD4_08.ZIP     6517 07-04-92 Machine Learning Digest Volume 4 Issue 08
MLD4_09.ZIP    18098 07-04-92 Machine Learning Digest Volume 4 Issue 09
MLD4_10.ZIP     8272 07-06-93 Machine Learning Digest Volume 4 Issue 10
MLD4_11.ZIP     8445 07-06-93 Machine Learning Digest Volume 4 Issue 11
MLD4_12.ZIP    13788 07-06-93 Machine Learning Digest Volume 4 Issue 12
MLD4_13.ZIP     3602 07-06-93 Machine Learning Digest Volume 4 Issue 13
MLD4_14.ZIP     8545 07-06-93 Machine Learning Digest Volume 4 Issue 14
MLD4_15.ZIP    12619 07-06-93 Machine Learning Digest Volume 4 Issue 15
MLD4_16.ZIP     8205 07-06-93 Machine Learning Digest Volume 4 Issue 16
MLD4_17.ZIP    10452 07-06-93 Machine Learning Digest Volume 4 Issue 17
MLD4_18.ZIP    10970 07-06-93 Machine Learning Digest Volume 4 Issue 18
MLD4_19.ZIP     9593 07-06-93 Machine Learning Digest Volume 4 Issue 19
MLD4_20.ZIP    24115 07-06-93 Machine Learning Digest Volume 4 Issue 20
MLD4_21.ZIP     5392 07-06-93 Machine Learning Digest Volume 4 Issue 21
MLD4_22.ZIP    14222 07-06-93 Machine Learning Digest Volume 4 Issue 22
MLD4_23.ZIP     6918 07-06-93 Machine Learning Digest Volume 4 Issue 23
MLD4_24.ZIP    11556 07-06-93 Machine Learning Digest Volume 4 Issue 24
------------------------------------------------------------------------------
MLD5_01.ZIP     5000 07-06-93 Machine Learning Digest Volume 5 Issue 01
MLD5_02.ZIP    11136 07-06-93 Machine Learning Digest Volume 5 Issue 02
MLD5_03.ZIP    13464 07-06-93 Machine Learning Digest Volume 5 Issue 04
MLD5_04.ZIP     6273 07-06-93 Machine Learning Digest Volume 5 Issue 04
MLD5_05.ZIP     6176 07-06-93 Machine Learning Digest Volume 5 Issue 05
MLD5_06.ZIP     7817 07-06-93 Machine Learning Digest Volume 5 Issue 06
MLD5_07.ZIP    10528 07-06-93 Machine Learning Digest Volume 5 Issue 07
MLD5_08.ZIP    40794 07-06-93 Machine Learning Digest Volume 5 Issue 08
MLD5_09.ZIP    10463 07-06-93 Machine Learning Digest Volume 5 Issue 09
MLD5_10.ZIP    11598 07-06-93 Machine Learning Digest Volume 5 Issue 10
MLD5_11.ZIP    15366 07-06-93 Machine Learning Digest Volume 5 Issue 11
MLD5_12.ZIP     8581 07-06-93 Machine Learning Digest Volume 5 Issue 12
MLD5_13.ZIP    13262 07-06-93 Machine Learning Digest Volume 5 Issue 13
MLD5_14.ZIP     4755 07-06-93 Machine Learning Digest Volume 5 Issue 14
MLD5_15.ZIP    18090 12-03-94 Machine Learning Digest Volume 5 Issue 15
MLD5_16.ZIP    13757 12-03-94 Machine Learning Digest Volume 5 Issue 16
MLD5_17.ZIP    13245 12-03-94 Machine Learning Digest Volume 5 Issue 17
MLD5_18.ZIP    17326 12-03-94 Machine Learning Digest Volume 5 Issue 18
MLD5_19.ZIP     9401 12-03-94 Machine Learning Digest Volume 5 Issue 19
MLD5_20.ZIP    12278 12-03-94 Machine Learning Digest Volume 5 Issue 20
MLD5_21.ZIP     8735 12-03-94 Machine Learning Digest Volume 5 Issue 21
MLD5_22.ZIP    10265 12-03-94 Machine Learning Digest Volume 5 Issue 22
MLD5_23.ZIP     7740 12-03-94 Machine Learning Digest Volume 5 Issue 23
MLD5_24.ZIP    10409 12-03-94 Machine Learning Digest Volume 5 Issue 24
MLD5_25.ZIP     7704 12-03-94 Machine Learning Digest Volume 5 Issue 25
MLD5_26.ZIP     9774 12-03-94 Machine Learning Digest Volume 5 Issue 26
MLD5_27.ZIP     7145 12-03-94 Machine Learning Digest Volume 5 Issue 27
------------------------------------------------------------------------------
MLD6_01.ZIP    13972 12-03-94 Machine Learning Digest Volume 6 Issue 01
MLD6_02.ZIP    29710 12-03-94 Machine Learning Digest Volume 6 Issue 02
MLD6_03.ZIP     6806 12-03-94 Machine Learning Digest Volume 6 Issue 03
MLD6_04.ZIP    11458 12-03-94 Machine Learning Digest Volume 6 Issue 04
MLD6_05.ZIP     6178 12-03-94 Machine Learning Digest Volume 6 Issue 05
MLD6_06.ZIP     8862 12-03-94 Machine Learning Digest Volume 6 Issue 06
MLD6_07.ZIP     6456 12-03-94 Machine Learning Digest Volume 6 Issue 07
MLD6_08.ZIP    13331 12-03-94 Machine Learning Digest Volume 6 Issue 08
MLD6_09.ZIP    38400 12-03-94 Machine Learning Digest Volume 6 Issue 09
MLD6_10.ZIP    25122 12-03-94 Machine Learning Digest Volume 6 Issue 10
MLD6_11.ZIP    12985 12-03-94 Machine Learning Digest Volume 6 Issue 11
MLD6_12.ZIP    10613 12-03-94 Machine Learning Digest Volume 6 Issue 12
MLD6_13.ZIP    22352 12-03-94 Machine Learning Digest Volume 6 Issue 13
MLD6_14.ZIP     5423 12-03-94 Machine Learning Digest Volume 6 Issue 14
MLD6_15.ZIP     7658 12-03-94 Machine Learning Digest Volume 6 Issue 15
MLD6_16.ZIP     4479 12-03-94 Machine Learning Digest Volume 6 Issue 16
MLD6_17.ZIP    38388 12-03-94 Machine Learning Digest Volume 6 Issue 17
MLD6_18.ZIP    15724 12-03-94 Machine Learning Digest Volume 6 Issue 18
MLD6_19.ZIP     9075 12-03-94 Machine Learning Digest Volume 6 Issue 19
MLD6_20.ZIP    12469 12-03-94 Machine Learning Digest Volume 6 Issue 20
MLD6_21.ZIP    14484 12-03-94 Machine Learning Digest Volume 6 Issue 21
MLD6_22.ZIP    20183 12-03-94 Machine Learning Digest Volume 6 Issue 22
MLD6_23.ZIP    18285 12-03-94 Machine Learning Digest Volume 6 Issue 23
MLD6_24.ZIP     8464 12-03-94 Machine Learning Digest Volume 6 Issue 24
MLD6_25.ZIP    26907 12-03-94 Machine Learning Digest Volume 6 Issue 25
MLD6_26.ZIP    12908 12-03-94 Machine Learning Digest Volume 6 Issue 26
MLD6_27.ZIP    21498 12-03-94 Machine Learning Digest Volume 6 Issue 27
MLD6_28.ZIP    11159 12-03-94 Machine Learning Digest Volume 6 Issue 28
MLD6_29.ZIP    13289 12-03-94 Machine Learning Digest Volume 6 Issue 29
MLD6_30.ZIP    30852 12-03-94 Machine Learning Digest Volume 6 Issue 30

